EmployeeID,Gender,Age,Education,EducationType,MaritalStatus,TotalCompanies,TotalExperience,DistanceToOffice,Department,Traveltype_last_year,BillingRate,MonthlyIncome,Years_at_Company,Years_InCurrentRole,LastSalaryHike,PotentialReview,PerformanceReview,SatisfactionScore,JobRole_SatisfactionScore,Overall_SatisfactionScore
AB0001,Male,24,Graduation,Economics,Married,8,7,9,ClientSolutions,Conference,73,2718,1,0,19,Very High,Met Expectations,Passive,Passive,Detractor
AB0002,Female,36,Masters / PHD,Economics,Single,8,22,2,ClientSolutions,LongTermProject,36,6577,20,9,15,Very High,Met Expectations,Detractor,Detractor,Promoter
AB0003,Male,33,Masters / PHD,Marketing / Finance,Divorced,1,8,24,ClientSolutions,Conference,28,2995,7,5,18,Low,Met Expectations,Passive,Passive,Passive
AB0004,Male,21,Graduation,Marketing / Finance,Divorced,1,1,20,ClientSolutions,Conference,161,2637,1,1,20,High,Exceed Expectations,Detractor,Passive,Passive
AB0005,Male,39,Graduation,Economics,Single,3,25,6,ClientSolutions,Conference,34,4674,3,3,16,Medium,Met Expectations,Detractor,Passive,Promoter
AB0006,Female,33,Graduation,Economics,Married,1,23,11,ClientSolutions,Conference,107,11450,23,20,16,Medium,Exceed Expectations,Detractor,Passive,Promoter
AB0007,Male,23,Under Graduation,Marketing / Finance,Divorced,9,10,10,ClientSolutions,Conference,64,3764,5,4,16,Low,Met Expectations,Detractor,Promoter,Detractor
AB0008,Male,27,Masters / PHD,Marketing / Finance,Single,1,5,5,BusinessDevelopment,Conference,123,5405,5,3,16,High,Met Expectations,Detractor,Promoter,Passive
AB0009,Female,16,Graduation,Marketing / Finance,Single,1,1,12,ClientSolutions,Conference,133,2881,1,0,17,Medium,Met Expectations,Promoter,Detractor,Detractor
AB0010,Female,51,Masters / PHD,Economics,Divorced,9,43,1,ClientSolutions,LongTermProject,145,11523,7,5,18,High,Met Expectations,Promoter,Passive,Detractor
AB0011,Female,28,Graduation,Economics,Divorced,1,14,3,ClientSolutions,Conference,137,5979,14,10,15,High,Met Expectations,Promoter,Passive,Passive
AB0012,Female,42,Graduation,Marketing / Finance,Divorced,1,7,15,ClientSolutions,Conference,129,4904,5,3,14,Very High,Met Expectations,Promoter,Passive,Passive
AB0013,Male,28,Graduation,Marketing / Finance,Divorced,9,21,14,ClientSolutions,LongTermProject,101,18638,18,10,16,High,Met Expectations,Detractor,Detractor,Promoter
AB0014,Female,34,Masters / PHD,Economics,Single,12,9,9,ClientSolutions,Conference,84,5137,4,3,15,High,Met Expectations,Passive,Passive,Passive
AB0015,Male,21,Under Graduation,Bio-technology,Married,1,1,2,BusinessDevelopment,Conference,22,2745,1,0,19,High,Met Expectations,Passive,Passive,Detractor
AB0016,Female,28,Masters / PHD,Economics,Divorced,5,14,32,ClientSolutions,Conference,166,2787,9,7,22,High,Exceed Expectations,Passive,Promoter,Detractor
AB0017,Male,34,Graduation,Economics,Married,7,31,2,ClientSolutions,Conference,36,20686,29,8,14,High,Met Expectations,Detractor,Passive,Detractor
AB0018,Male,34,Graduation,Bio-technology,Married,1,13,1,BusinessDevelopment,Conference,78,9215,13,9,18,Very High,Met Expectations,Passive,Detractor,Passive
AB0019,Male,47,Graduation,Bio-technology,Divorced,4,42,28,BusinessDevelopment,Conference,25,15478,1,0,15,Medium,Met Expectations,Detractor,Promoter,Passive
